tamilword,englishword
நான்,I
அவரது,His
என்று,That
அவர்,He
இருந்தது,Was
ஐந்து,Five
உள்ளன,Are there
உடன்,By
அவை,They
இருக்கும்,Will be
மணிக்கு,Under
ஒரு,A
வேண்டும்,Should
இந்த,These
இருந்து,From
மூலம்,Source
சூடான,Hot
ஆனால்,But
என்ன,What
சில,Some
ஆகிறது,Is that
அது,That
நீங்கள்,You
அல்லது,Or
இருந்தது,Was
உள்ள,Existing
செய்ய,To do
மற்றும்,And
ஒரு,A
உள்ள,Existing
நாம்,We
முடியாது,Can not
வெளியே,Out
மற்ற,Other
இருந்தன,Were
இது,It
செய்,Do
தங்கள்,Of the
நேரம்,Time
என்றால்,So if
சாப்பிடுவேன்,Eating
எப்படி,How
என்றார்,said
ஒரு,A
ஒவ்வொரு,Each
சொல்ல,To say
இல்லை,Not
தொகுப்பு,Set
மூன்று,Three
வேண்டும்,Should
காற்று,Air
அதே,Same
"மேலும்,","Further,"
விளையாட,To play
சிறு,Minor
இறுதியில்,At the end
வைத்து,Kept
வீட்டில்,At home
படிக்க,To study
கையில்,Hand
துறைமுக,Port
பெரிய,Great
எழுத்துப்பிழை,Spell
சேர்க்க,Add
கூட,Too
நில,Land
இங்கே,Here
வேண்டும்,Should
பெரிய,Great
உயர்,Rise
போன்ற,Similar
பின்பற்றவும்,Follow
செயல்,Action
ஏன்,Why
கேட்க,Ask
ஆண்கள்,Men
மாற்றம்,Change
சென்றார்,Moved
ஒளி,Light
வகையான,Sarcasm
ஆஃப்,Off
வேண்டும்,Should
வீட்டில்,At home
படம்,Picture
முயற்சி,Attempt
அமெரிக்க,US
மீண்டும்,Again
விலங்கு,Animal
புள்ளி,Point
அம்மா,Mom
உலக,World
அருகில்,Near
கட்ட,Phase
சுய,Self
பூமியில்,By
தந்தை,Father
எந்த,Which
புதிய,New
பணி,Work
பகுதி,Part
எடுத்து,Take
கிடைக்கும்,Available
இடத்தில்,In
செய்து,Do
வாழ,Live
எங்கே,Where
பின்னர்,After
மீண்டும்,Again
சிறிய,Small
மட்டும்,Only
சுற்று,Round
மனிதன்,Man
ஆண்டு,Year
வந்தது,Arrived
நிகழ்ச்சி,Event
ஒவ்வொரு,Each
நல்ல,Good
எனக்கு,Me
கொடுக்க,Give
எங்கள்,Our
கீழ்,Under
பெயர்,Name
மிகவும்,Highly
மூலம்,Source
வெறும்,Mere
வடிவம்,Shape
தண்டனை,Penalty
பெரும்,Superficial
என்று,That
சொல்ல,To say
உதவும்,Aid
குறைந்த,Scratch
வரி,Line
வேறுபடுகின்றன,Are different
இதையொட்டி,It
காரணம்,Cause
மிகவும்,Highly
அர்த்தம்,Mean
முன்னால்,Ahead
நடவடிக்கை,Action
வலது,Right
சிறுவன்,Boy
பழைய,Older
மிகவும்,Highly
அதே,Same
அவர்,He
அனைத்து,All
அங்கு,Where
எப்போது,When
மேலே,Above
பயன்பாடு,Use
உங்கள்,Your
வழி,Path
பற்றி,About
பல,Many
பின்னர்,After
அவர்கள்,They
எழுத,Write
என்று,That
போன்ற,Similar
எனவே,Therefore
இவை,These
அவரது,His
நீண்ட,Long
செய்ய,To do
விஷயம்,Thing
பார்க்க,To see
அவரை,Bean
இரு,Stand
உள்ளது,There is
பார்க்க,To see
மேலும்,Further
நாள்,Day
முடியும்,Can
போ,Go
வா,Come
செய்தது,Made
பல,Many
ஒலி,Tingling
எந்த,Which
மிகவும்,Highly
மக்கள்,People
என்னுடைய,Mine
மேல்,Upon
எனக்கு தெரியும்,I know
தண்ணீர்,Water
விட,Rather
அழைப்பு,Call
முதல்,First
யார்,Who
மே,May be
கீழே,Down
பக்க,Side
வருகிறது,Comes with
இப்பொழுது,Now
கண்டுபிடிக்க,To find out
தலைவர்,Chairman
நிற்க,To stand
சொந்த,Own
பக்கம்,Page
வேண்டும்,Should
நாட்டின்,Country
காணப்படும்,Found
பதில்,Response
பள்ளி,School
வளர,To grow
ஆய்வு,Study
இன்னும்,Still
அறிய,Learn
ஆலை,Mill
கவர்,Cover
உணவு,Eating
சூரிய,Sun
நான்கு,Four
இடையே,Between
மாநில,State
வைத்து,Kept
கண்,Eye
ஒருபோதும்,Never
கடந்த,Past
நாம்,We
நினைத்தேன்,I thought
நகரம்,City
மரத்தில்,In the tree
கடந்து,Cross
பண்ணை,Farm
கடின,Hard
தொடக்கத்தில்,The beginning
வலிமை,Strength
கதை,Story
எண்ணினர்,Counted
இதுவரை,Far
கடல்,Sea
வரைய,Draw
விட்டு,Left
தாமதமாக,Late
ரன்,Run
இல்லை,Not
போது,When
செய்தி,Message
நெருங்கிய,Intimate
இரவு,Night
உண்மையான,True
வாழ்க்கை,Life
சில,Some
வடக்கில்,North
புத்தகம்,Book
எடுத்து,Take
நடந்தது,Happened
அறிவியல்,Science
சாப்பிட,To eat
அறையில்,In the room
நண்பர்,Friend
தொடங்கியது,Started
யோசனை,Idea
மீன்,Fish
மலை,Mountain
நிறுத்த,Stop
ஒருமுறை,Once
அடிப்படை,Basis
செவி மடுத்து கேள்,Listen
குதிரை,Pony
வெட்டு,Cut
உறுதியான,Decisive
பார்க்க,To see
வண்ண,Color
முகத்தை,Face
மரம்,Wood
முக்கிய,Prime
திறந்த,Open
தெரியவில்லை,I do not know
ஒன்றாக,Together
அடுத்த,Next
வெள்ளை,White
குழந்தைகள்,Children
தொடங்கும்,Begin
கிடைத்தது,Got
நடக்க,To walk
உதாரணமாக,For example
எளிதாக்க,Ease
காகித,Paper
குழு,Group
எப்போதும்,Ever
இசை,Musical
அந்த,That
இரண்டு,Two
குறி,Aim
பெரும்பாலும்,Often
கடிதம்,Letter
வரை,Slide
மைல்,Mile
ஆற்றில்,In the river
கார்,Car
அடி,Slap
பாதுகாப்பு,Protection
இரண்டாவது,Second
போதுமான,Sufficient
வெற்று,Empty
பெண்,Woman
வழக்கம்,Usual
இளம்,Young
தயாராக,Ready
மேலே,Above
எப்போதும்,Ever
"சிவப்பு,","Red,"
பட்டியலில்,List
எனினும்,However
உணர,To realize
பேச்சு,Speech
பறவை,Bird
விரைவில்,Soon
உடல்,Body
நாய்,Dog
குடும்ப,Family
நேரடி,Direct
போஸ்,Pose
விட்டு,Left
பாடல்,Song
அளவிட,Measurement
கதவை,Door
தயாரிப்பு,Product
கருப்பு,Black
குறுகிய,Narrow
எண்,Number
வர்க்கம்,Class
காற்று,Air
கேள்வி,Question
நடக்கும்,Will happen
முழுமையான,Simmer
கப்பல்,Ship
பகுதி,Part
அரை,Half
ராக்,Rock
பொருட்டு,Order
தீ,Fire
தெற்கு,South
பிரச்சனை,Problem
துண்டு,Slice
கூறினார்,Said
தெரிந்தது,Found
கடந்து,Cross
முதல்,First
மேல்,Upon
முழுவதும்,Entire
ராஜா,King
தெருவில்,In the street
அங்குல,Inch
பெருக்கவும்,Multiply
எதுவும்,Anything
நிச்சயமாக,Of course
தங்க,Stay
சக்கர,Wheel
முழு,Whole
படை,Troops
நீல,Blue
பொருள்,Stuff
முடிவு,End
மேற்பரப்பு,Surface
ஆழமான,Deep
நிலவு,Moon
தீவின்,Islands
கால்,Leg
அமைப்பு,System
பிஸியாக,Busy
சோதனை,Test
பதிவு,Entry
படகு,Boat
பொது,General
தங்க,Stay
சாத்தியம்,Possibility
விமானம்,Plane
ஸ்தானத்தில்,In the position
உலர்,Tow
தெரியவில்லை,I do not know
சிரிப்பு,Laughter
ஆயிரம்,A thousand
முன்பு,Earlier
ஓடி,Run
பார்க்க,To see
விளையாட்டு,Sports
வடிவம்,Shape
சமன்,Equate
சூடான,Hot
மிஸ்,Miss
கொண்டு,With
வெப்ப,Heat
பனி,Dew
டயர்,Tire
கொண்டு வா,bring it
ஆம்,Yes
தொலைதூர,Overloo
நிரப்பவும்,Fill in
கிழக்கு,East
வண்ணம்,Paint
மொழி,Language
மத்தியில்,Middle
அலகு,Unit
அதிகாரத்தை,Authority
நகரம்,City
நன்றாக,Well
நிச்சயமான,Certain
பறக்க,Fly
விழ,Vand
வழிவகுக்கும்,Lead to leading
அழ,Cry
இருண்ட,Dark
இயந்திரம்,Machine
குறிப்பு,Reference
காத்திருக்க,To wait
திட்டம்,Plan
எண்ணிக்கை,Figure
நட்சத்திர,Star
பெட்டியில்,In the box
பெயர்ச்சொல்,Noun
துறையில்,Field
மீதமுள்ள,The rest
சரியான,Proper
முடிந்தது,Finished
பவுண்டு,Pound
செய்து,Do
அழகு,Beauty
இயக்கி,Driver
நின்று,Standing
கொண்டிருக்கிறது,Contains
முன்,Before
கற்று,Teaches
வாரம்,Week
இறுதி,End
கொடுத்தது,Gave
பச்சை,Green
ஓ,Oh
விரைவான,Rigid
அபிவிருத்தி,Development
கடல்,Sea
சூடான,Hot
இலவச,Free
நிமிடம்,Minute
வலுவான,Strong
சிறப்பு,Special
மனதில்,In mind
பின்னால்,Back
தெளிவான,Obvious
வால்,Tail
உற்பத்தி,Production
உண்மை,Truth
விண்வெளி,Space
கேட்டது,Asked for
சிறந்த,Excellent
மணி,Bell
சிறந்த,Excellent
உண்மை,Truth
போது,When
நூறு,Hundred
ஐந்து,Five
நினைவில்,To remember
படி,Read
ஆரம்ப,Initial
நடத்த,Hold
மேற்கே,West
தரையில்,Ground
வட்டி,Interest
அடைய,Achieve
வேகமாக,Rapid
வினை,Reaction
பாட,Sing
கேட்க,Ask
ஆறு,Six
அட்டவணை,Schedule
பயண,Travel
குறைவான,Acre
காலையில்,In the morning
பத்து,Ten
எளிமையான,Armpit
பல,Many
உயிர்,Life
நோக்கி,Toward
போர்,War
போட,Put
எதிரான,Opposite
அமைப்பு,System
மெதுவாக,Slow
சென்டர்,Center
காதல்,Love
நபர்,Person
பணத்தை,Cash
சேவை,Service
தோன்றும்,Appear
சாலை,Road
வரைபடத்தை,Map
மழை,Shower
ஆட்சி,Rule
ஆட்சி,Rule
இழுக்க,Pull
குளிர்,Cold
அறிவிப்பு,Notice
குரல்,Voice
ஆற்றல்,Energy
வேட்டை,Hunting
சாத்தியமான,Possible
படுக்கையில்,Bed
சகோதரர்,Brother
முட்டை,Egg
சவாரி,Ride
செல்,Go
நம்பிக்கை,Confidence
ஒருவேளை,Perhaps
எடுக்க,To take
திடீர்,Suddenly
எண்ண,Count
சதுரம்,Square
காரணம்,Cause
நீளம்,Length
பிரதிநிதித்துவம்,Representation
கலை,Art
பொருள்,Stuff
பகுதி,Part
அளவு,Measurement
மாறுபடுகிறது,Varying
குடியேற,Settle down
பேச,To say
எடை,Weight
பொது,General
பனி,Dew
விஷயம்,Thing
வட்டத்தின்,Circle
ஜோடி,Couple
சேர்க்கிறது,Adds
பிளவை,Slit
அசையாக,Almost
உணர்ந்தேன்,Felt
பெரும்,Superficial
பந்து,Ball
இதுவரை,Far
அலை,Wave
கைவிட,Drop
இதய,Heart
நான்,I
தற்போதைய,Current
கனரக,Heavy
நடன,Dance
இயந்திரம்,Machine
நிலையை,Position
கை,Hand
பரந்த,Vast
புறப்பட்டது,Departed
பொருள்,Stuff
பகுதி,Part
காட்டில்,Jungle
உட்கார,Risen
இனம்,Race
சாளர,Window
கடையில்,At the store
கோடை,Summer
ரயில்,Train
தூக்கம்,Sleep
நிரூபிக்க,Prove
தனி,Solo
காலை,morning
உடற்பயிற்சி,Gymnastics
சுவர்,Wall
ப,B
ஏற்ற,Relevant
விரும்புகிறேன்,Would like to like
வானத்தில்,In the sky
குழு,Group
மகிழ்ச்சி,Delight
குளிர்காலத்தில்,In the winter
சனி,Saturn
எழுதப்பட்ட,Written
காட்டு,Show
கருவி,Tool
வைத்து,Kept
கண்ணாடி,Glass
புல்,Grass
மாடு,Cow
வேலை,Work
விளிம்பில்,Edge
அடையாளம்,Sign
வருகை,Attendance
கடந்த,Past
மென்மையான,Soft
வேடிக்கை,Fun
பிரகாசமான,Bright
எரிவாயு,Gas
வானிலை,Weather
மாதம்,Month
மில்லியன்,Million
தாங்க,Bear
பூச்சு,Coating
சந்தோஷமாக,Happy
நம்பிக்கை,Confidence
மலர்,Flower
உடை,Dress
விசித்திரமான,Strange
சென்று,Visited
வர்த்தக,Trade
மெல்லிசை,Melody
பயணம்,Journey
அலுவலகத்தில்,in office
பெற,To receive
வரிசையில்,In order
வாயில்,Gate
துல்லியமான,Precise
சின்னம்,Symbol
இறக்க,To die
குறைந்தது,At least
சிக்கல்,Problem
கத்தி,Blade
"தவிர,","Besides,"
எழுதியது,Written
விதை,Seed
தொனி,Tone
சேர,To join
பரிந்துரைக்கிறது,Recommends
சுத்தமான,Pure
இடைவெளி,Gap
பெண்,Woman
முற்றத்தில்,In the yard
உயரும்,Rise
கெட்ட,Bad
அடியாக,Blow
எண்ணெய்,Oil
இரத்த,Blood
தொட,To touch
வளர்ந்தது,Growing up
சதவீதம்,Percentage
கலந்து,Mix
அணி,Matrix
கம்பி,Wire
செலவு,Outstanding
இழந்தது,Losed
பழுப்பு,Brown
அணிய,To wear
தோட்டத்தில்,Garden
சம,Equal
அனுப்பி,Send
தேர்வு,Examination
விழுந்தது,Fell down
பொருந்தும்,Applicable
பாயும்,Flowing
நியாயமான,Fair
வங்கி,Bank
சேகரிக்க,To collect
காப்பாற்ற,To save
கட்டுப்பாடு,Control
தசம,Decimal
காது,Ear
வேறு,Other
மிகவும்,Highly
வெடித்தது,Erupted
வழக்கு,Case
நடுத்தர,Middle
கொலை,Murder
மகன்,Son
ஏரியில்,At the lake
கணம்,Moment
அளவில்,Quantity
உரத்த,Loud
வசந்த,Bowl
அவதானிக்கவும்,Observe
குழந்தை,Child
நேராக,Straight
மெய்,Conscientious
தேசிய,National
அகராதியில்,In the dictionary
பால்,Milk
வேக,Pale
முறை,Method
உறுப்பு,Organ
செலுத்த,To pay
வயது,Age
பிரிவில்,In the segment
ஆடை,Clothes
மேகம்,Cloud
ஆச்சரியம்,Surprise
அமைதியான,Quiet
கல்,Stone
சிறிய,Small
ஏறு மெதுவாக தொற்றி ஏறு,Climb
குளிர்,Cold
வடிவமைப்பு,Design
ஏழை,Poor
நிறைய,A lot
சோதனை,Test
கீழே,Down
முக்கிய,Prime
இரும்பு,Iron
ஒற்றை,Single
குச்சி,Stick
பிளாட்,Flat
இருபத்தி,Twenty -half
தோல்,Skin
சிரிப்பு,Laughter
மடி,Fold
ஓட்டை,Hole
குதிக்க,To jump
குழந்தை,Child
எட்டு,Eight
கிராமம்,Village
சந்திக்க,To meet
ரூட்,Root
வாங்க,Buy
உயர்த்த,Raise
தீர்க்க,Resolve
உலோக,Metal
என்பதை,See
மிகுதி,Excess
ஏழு,Seven
பத்தி,Paragraph
மூன்றாவது,Third
போகலாமா,Can go
நானும்,Too
முடி,Hair
விவரிக்க,To describe
சமையற்காரர்,Cook
தரையில்,Ground
ஒன்று,One
இதன் விளைவாக,Because of this
எரிக்க,Burn
மலை,Mountain
பாதுகாப்பான,Safe
பூனை,Cat
நூற்றாண்டின்,Centuries
கருத்தில்,In consideration
வகை,Category
சட்ட,Legal
பிட்,Bit
கடற்கரையில்,At the coast
பிரதியை,Copy
சொற்றொடர்,Phrase
அமைதியாக,Quiet
உயரம்,Height
மணல்,Sand
மண்,Soil
ரோல்,Roll
வெப்பநிலை,Temperature
விரல்,Finger
தொழில்,Profession
மதிப்பு,Respect
சண்டை,Quarrel
பொய்யை,Lie
அடிக்க,Beat
தூண்ட,Trigger
இயற்கை,Nature
பார்வை,View
உணர்வு,Consciousness
தலைநகர்,Capital
இல்லை,Not
நாற்காலியில்,In the chair
ஆபத்து,Danger
பழம்,Fruit
பணக்கார,Rich
தடித்த,Throb
சிப்பாய்,Pawn
செயல்முறை,Process
செயல்பட,Act
நடைமுறையில்,In practice
தனி,Solo
கடினமான,Tough
மருத்துவர்,Herd
தயவு செய்து,please
காப்பாற்று,Protect
நண்பகல்,Noon
பயிர்,Crop
நவீன,Modern
உறுப்பு,Organ
வெற்றி,Success
மாணவர்,Student
மூலையில்,Corner
கட்சி,Party
வழங்கல்,Supply
அதன்,The same
கண்டறிவது,Detecting
மோதிரத்தை,The ring
பாத்திரம்,Vessel
பூச்சி,Worm
பிடித்து,Stuck
காலம்,Time
குறிக்கிறது,Refers to
ரேடியோ,Radio
பேசினார்,Spoken
அணுவின்,Atom
மனித,Human
வரலாற்றில்,In history
விளைவு,Outcome
மின்சார,Electric
எதிர்பார்க்க,Expect
எலும்பு,Bone
ரயில்,Train
கற்பனை,Fantasy
எப்படி,How
ஒப்புக்கொள்கிறேன்,Agree
இவ்வாறு,Thus
மென்மையான,Soft
பெண்,Woman
கேப்டன்,Captain
யூகிக்க,To guess
தேவையான,Desired
கூர்மையான,Sharp
வலதுசாரி,Right
உருவாக்க,Build
அண்டை,Neighbor
கழுவும்,Wash
பேட்டிங்,Bating
மாறாக,In contrast
கூட்டத்தில்,Crowd
சோளம்,Maize
ஒப்பிட்டு,Comparison
கவிதையை,Poem
சரம்,Tingle
மணி,Bell
சார்ந்திருக்கிறது,Relying on
இறைச்சி,Meat
துடைப்பான்,Mop
குழாய்,Tap
பிரபலமான,Popular
டாலர்,Dollar
ஸ்ட்ரீம்,Stream
பயம்,Fear
பார்வை,View
மெல்லிய,Thin
முக்கோண,Triangle
கிரகத்தின்,Planet
அவசரம்,Urgency
தலைமை,Leadership
காலனி,Colony
கடிகார,Clock
என்னுடைய,Mine
டை,Died
நுழைய,Enter
முக்கிய,Prime
புதிய,New
தேடல்,Search
அனுப்பு,Send
மஞ்சள்,Yellow
துப்பாக்கி,Gun
அனுமதிக்க,To allow
அச்சு,Axis
இறந்த,Dead
ஸ்பாட்,Spot
பாலைவன,Desert
வழக்கு,Case
நடப்பு,Current
லிப்ட்,Lift
உயர்ந்தது,Rose
வரும்,Come
மாஸ்டர்,Master
பாடல்,Song
பெற்றோர்,Parent
கரையில்,Shore
பிரிவு,section
தாள்,Paper
பொருள்,Stuff
சாதகமாக,Positively
இணைக்க,Connect
பின்,After
செலவு,Outstanding
நாண்,Cord
கொழுப்பு,Adipose
மகிழ்ச்சி,Delight
அசல்,Original
பங்கு,Role
நிலையம்,Station
தந்தை,Father
ரொட்டி,Bake
வசூலிக்க,To collect
முறையான,Legitimate
பட்டியில்,Bar
வாய்ப்பை,Opportunity
பிரிவு,section
அடிமை,Slave
மூழ்கு,Plunge
உடனடி,Instant
சந்தை,Market
பட்டம்,Degree
விரிவுப்படுத்த,Expand
குஞ்சு,Chick
அன்பே,Love
பகைவன்,Enemy
பதில்,Response
பானம்,Drink
ஏற்படும்,May be
ஆதரவு,Support
பேச்சு,Speech
இயற்கையின்,Nature
எல்லை,Border
நீராவி,Steam
இயக்கம்,Movement
பாதை,Pathway
திரவ,Liquid
புகுபதிகை,Log in
பொருள்,Stuff
ஈவு,Bring
பற்கள்,Gardens
ஷெல்,Shell
கழுத்தில்,In the neck
ஆக்சிஜன்,Oxygen
சர்க்கரை,Sugar
மரணம்,Death
அழகான,Beautiful
திறன்,Power
பெண்கள்,Women
சீசன்,Season
தீர்வு,Solution
கிரேடு,Grade
வெள்ளி,Silver
நன்றி,Thanks
கிளை,Branch
போட்டியில்,In competition
மை,Ink
குறிப்பாக,Particularly
அத்தி,Fig
பயம்,Fear
பிரம்மாண்டமான,Huge
அக்கா,Sister
உருக்கு,Melt
விவாதிக்க,To discuss
முன்னோக்கி,Forward
இதே,Same
வழிகாட்ட,Guide
அனுபவம்,Experience
மதிப்பெண்,Score
ஆப்பிள்,Apple
வாங்கி,Buy
தலைமையிலான,Headed
சுருதி,Pitch
கோட்,Coat
வெகுஜன,Mass
கார்டு,Card
இசைக்குழு,Band
கயிற்றில்,Rope
சீட்டு,Slope
வெற்றி,Success
கனவு,Dream
மாலை,Wreath
நிலை,Position
ஜூன்,June
கருவி,Tool
மொத்த,Gross
அடிப்படை,Basis
மணம்,Smell
பள்ளத்தாக்கில்,In the valley
அல்லது,Or
இரட்டை,Double
இருக்கை,Seat
தொடர்ந்து,Follow
தொகுதி,Volume
விளக்கப்படம்,Diagram
தொப்பி,Hat
விற்க,To sell
வெற்றி,Success
நிறுவனம்,Corporation
கழித்தால்,If subtracted
நிகழ்வு,Event
குறிப்பாக,Particularly
ஒப்பந்தம்,Contract
து,Thong
கால,Term
எதிர்,Counter
மனைவி,Spouse
காலணி,Shoe
தோள்பட்டை,shoulder
பரவல்,Diffusion
ஏற்பாடு,Arrangement
முகாம்,Camp
கண்டுபிடித்தல்,Discovery
பருத்தி,Cotton
பிறந்த,Born
தீர்மானிக்க,To determine
பைண்டு அளவு,Ammunition
ஒன்பது,Nine
டிரக்,Truck
சத்தம்,Noise
நிலை,Position
வாய்ப்பு,Chance
சேகரிக்க,To collect
கடையை,Shop
நீட்டிக்க,To stretch
தூக்கி,Lift
பிரகாசி,Shine
சொத்து,Property
பத்தியில்,Passage
மூலக்கூறின்,Molecule
தேர்ந்தெடு,Select
தவறு,Mistake
சாம்பல்,Ash
மீண்டும்,Again
தேவைப்படுகிறது,needed
பரந்த,Vast
தயார்,Ready
"உப்பு,","Salt,"
மூக்கு,Nose
பன்மை,Plural
கோபத்தை,Anger
கூற்று,Comment
கண்டத்தின்,Continental
